Bernice Yu,99272758,omnikron96@gmail.com,NOTPAID,ABSENT,gold,Veg
Charlotte Oliveiro,93210283,weiming199628@gmail.com,NOTPAID,PRESENT,gold,Normal
David Li,91031282,sandhyagopakumar16@gmail.com,PENDING,ABSENT,bronze,Veg
Irfan Ibrahim,92492021,gopakumar.sandhya@gmail.com,PAID,PRESENT,silver,Halal
Roy Balakrishnan,92624417,e0248114@u.nus.edu,PENDING,ABSENT,silver,Veg
Alma Andrade,80000867,omnikron96@gmail.com,PAID,ABSENT,gold,LactoseIntolerant
Eamon Webster,80000030,gopakumar.sandhya@gmail.com,PAID,ABSENT,bronze,Normal
Edan Morse,80000200,e0248114@u.nus.edu,NOTPAID,ABSENT,gold,GlutenFree
ElsieMae Vasquez,80000044,weiming199628@gmail.com,NOTPAID,ABSENT,silver,Normal
Firat Sweeney,80000889,sandhyagopakumar16@gmail.com,PAID,ABSENT,bronze,Normal
Franklin Snider,80000111,omnikron96@gmail.com,PAID,ABSENT,bronze,Normal
Hakeem Salgado,80000957,weiming199628@gmail.com,PAID,ABSENT,silver,Vegan
Hibah Lees,80000882,sandhyagopakumar16@gmail.com,NOTPAID,ABSENT,bronze,Kosher
Jayda Hill,80000251,gopakumar.sandhya@gmail.com,PAID,ABSENT,gold,PeanutAllergy
Keiren Reeve,80000901,e0248114@u.nus.edu,PAID,ABSENT,silver,Normal
Kinsley Coffey,80000817,omnikron96@gmail.com,NOTPAID,ABSENT,bronze,GlutenFree
Liliana Howard,80000211,gopakumar.sandhya@gmail.com,PAID,ABSENT,silver,Normal
Maleeha Tapia,80000909,e0248114@u.nus.edu,NOTPAID,ABSENT,gold,Halal
Monty Yu,80000786,weiming199628@gmail.com,PAID,ABSENT,bronze,ShrimpAllergy
Samiya Todd,80000699,sandhyagopakumar16@gmail.com,PAID,ABSENT,silver,Normal
Sohail Beattie,80000505,omnikron96@gmail.com,NOTPAID,ABSENT,gold,Vegan
