Bernice Yu,99272758,omnikron96@gmail.com,NOTPAID,ABSENT,00001,gold,Veg
Charlotte Oliveiro,93210283,weiming199628@gmail.com,NOTPAID,PRESENT,00002,gold,Normal
David Li,83186624,sandhyagopakumar16@gmail.com,PENDING,ABSENT,00003,Veg,bronze
Irfan Ibrahim,92492021,gopakumar.sandhya@gmail.com,PAID,PRESENT,00004,silver,Halal
Roy Balakrishnan,92624417,e0248114@u.nus.edu,PENDING,ABSENT,00005,Veg,silver
Alma Andrade,81336837,omnikron96@gmail.com,PAID,ABSENT,00006,gold,LactoseIntolerant
Eamon Webster,80000030,gopakumar.sandhya@gmail.com,PAID,ABSENT,00007,Normal,bronze
Edan Morse,80000200,e0248114@u.nus.edu,NOTPAID,ABSENT,00008,gold,GlutenFree
ElsieMae Vasquez,80000044,weiming199628@gmail.com,NOTPAID,ABSENT,00009,silver,Normal
Firat Sweeney,80000889,sandhyagopakumar16@gmail.com,PAID,ABSENT,00010,Normal,bronze
Franklin Snider,80000111,omnikron96@gmail.com,PAID,ABSENT,00011,Normal,bronze
Hakeem Salgado,80000957,weiming199628@gmail.com,PAID,ABSENT,00012,silver,Vegan
Hibah Lees,80000882,sandhyagopakumar16@gmail.com,NOTPAID,ABSENT,00013,Kosher,bronze
Jayda Hill,80000251,gopakumar.sandhya@gmail.com,PAID,ABSENT,00014,gold,PeanutAllergy
Keiren Reeve,80000901,e0248114@u.nus.edu,PAID,ABSENT,00015,silver,Normal
Kinsley Coffey,80000817,omnikron96@gmail.com,NOTPAID,ABSENT,00016,GlutenFree,bronze
Liliana Howard,80000211,gopakumar.sandhya@gmail.com,PAID,ABSENT,00017,silver,Normal
Maleeha Tapia,80000909,e0248114@u.nus.edu,NOTPAID,ABSENT,00018,gold,Halal
Monty Yu,80000786,weiming199628@gmail.com,PAID,ABSENT,00019,ShrimpAllergy,bronze
Samiya Todd,80000699,sandhyagopakumar16@gmail.com,PAID,ABSENT,00020,silver,Normal
Sohail Beattie,80000505,omnikron96@gmail.com,NOTPAID,ABSENT,00021,gold,Vegan
Sanjukta Saha,90128773,sanjuktasaha0906@gmail.com,PENDING,PRESENT,00022,Veg,
